"Contract No","Title","DAC Code","Contractor","Contractor Nationality","Country or Region","Action location","Amount in Euro","Type of contract","Duration","Duration Unit","Year"
167692,"Evaluation of the European Commission's co-operation with Botswana ",91010,"ECO STUDIEN SEPP & BUSACKER PARTNERSCHAFT","Germany","All Countries","Botswana",200000,"Services",540,"J",2008
168528,"Evaluation of EC support to Vietnam",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","All Countries","Vietnam",200499,"Services",360,"J",2008
170574,"Implementation of EU approach for the Budget Support methodology in Tunisia",91010,"DEVELOPMENT RESEARCHERS NETWORK SRL","Italy","All Countries","Tunisia",184987,"Services",540,"J",2008
164285,"Communication and Visibility Manual for EU External Actions","N/A","TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - European Citizens",30765.41,"Services",360,"J",2008
148638,"Budget Support Booklet","N/A","TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU (European citizens)",19656,"Services",1440,"J",2008
151242,"Payment order to OPOCE for storage and distribution costs Q4 2007","N/A","OFFICE DES PUBLICATIONS DE L'UNIONEUROPEENNE","Luxembourg","EU Europe ","EU (European citizens)",864.57,"Services",3,"M",2008
153781,"Fabrication de drapeaux européens personalisisées pour initiative ''9 mai dans les écoles''","N/A","INTERNATIONAL GRAFIC EDITIONS AND PROMOTIONS SA","Belgium","EU Europe ","EU (European citizens)",6175.5,"Services",2,"M",2008
154848,"VNR 9 MAY - Distribution","N/A","TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU (European citizens)",15093.6,"Services",60,"J",2008
155877,"information briefing & seminars for journalists",99820,"STICHTING EUROPEAN JOURNALISM CENTRE","Netherlands (The)","EU Europe ","EU (European citizens)",98651.53,"Services",17,"M",2008
155983,"Organisation of accommodation and travel for participants in journalists seminars",99820,"CARLSON WAGONLIT BELGIUM SA","Belgium","EU Europe ","EU (European citizens)",110000,"Services",11,"M",2008
159010,"Payment to OPOCE for storage costs Q1 2008",99820,"OFFICE DES PUBLICATIONS DE L'UNIONEUROPEENNE","Luxembourg","EU Europe ","EU (European citizens)",891.42,"Services",3,"M",2008
160353,"Annual Report 2008 on the ECs Development and External Assistance Policies and their Implementation in 2007",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU (European citizens)",115757,"Services",360,"J",2008
160571,"Commande de matériel promotionnel pour séminaire ''Water and Sanitation in the EU External Aid'' - Zaragoza 2008","N/A","INTERNATIONAL GRAFIC EDITIONS AND PROMOTIONS SA","Belgium","EU Europe ","Bruxelles/Zaragoza",7051.67,"Supplies",2,"M",2008
164159,"2008.2027 Annual Report 2008 Printing: Full Report",99820,"IMPRIMERIES BIETLOT FRERES SA","Belgium","EU Europe ","EU - European Citizens",20436.41,"Services",12,"M",2008
164192,"2008.2028 Annual Report 2008 printing: Highlights",99820,"IMPRIMERIES BIETLOT FRERES SA","Belgium","EU Europe ","EU - European Citizens",25366.66,"Services",12,"M",2008
164197,"2008/2028.6426 Annual Report 2008: Duplication of CDROM",99820,"EUROSCRIPT LUXEMBOURG SARL","Luxembourg","EU Europe ","EU - European Citizens",16438.56,"Services",12,"M",2008
165006,"Payment to OPOCE for storage and distribution costs Q2 2008",99820,"OFFICE DES PUBLICATIONS DE L'UNIONEUROPEENNE","Luxembourg","EU Europe ","EU (European Citizens)",775.26,"Services",12,"M",2008
165401,"DUPLICATION DVDs",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - european citizens",36409.25,"Services",360,"J",2008
166198,"Fighting poverty video - all languages",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - European citizens",88559,"Services",360,"J",2008
168577,"Booklet on budget support operations: Phase 2 (additional languages)",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - European citizens",23976.25,"Services",360,"J",2008
168656,"OPOCE distribution of Annual Report 2008",99820,"OFFICE DES PUBLICATIONS DE L'UNIONEUROPEENNE","Luxembourg","EU Europe ","EU - European citizens",6650,"Services",6,"M",2008
169066,"Bon de commande OPOCE: Transport urgent dossiers",99820,"IMPRIMERIES BIETLOT FRERES SA","Belgium","EU Europe ","EU - European Citizens",650,"Services",1,"M",2008
169533,"Web contract - multiple lots",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU (European citizens)",72985,"Services",360,"J",2008
169569,"CE DG AIDCO - DIFFUSION ET STOCKAGE - 3EME TRIMESTRE 2008",99820,"OFFICE DES PUBLICATIONS DE L'UNIONEUROPEENNE","Luxembourg","EU Europe ","EU - European citizens",506.44,"Services",6,"M",2008
170035,"Annual report 2009: One-pen exercise",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - European Citizens",37440.5,"Services",360,"J",2008
170456,"Generation Europe School Diary",99820,"FONDATION GENERATION EUROPE","Belgium","EU Europe ","EU - European Citizens",180000,"Services",9,"M",2008
170878,"Façade Info Point - Equipement IP",99820,"PRIMO GROUP SA","Belgium","EU Europe ","EU (European citizens)",32471.11,"Services",12,"M",2008
171138,"commande de matériel promotionnel pour conférences et événements grand public de EuropeAid",99820,"INTERNATIONAL GRAFIC EDITIONS AND PROMOTIONS SA","Belgium","EU Europe ","EU (European citizens)",41900,"Services",1,"A",2008
171207,"commande de matériel promotionnel spécial EuropeAid pour conférence et grand événements",99820,"INTERNATIONAL GRAFIC EDITIONS AND PROMOTIONS SA","Belgium","EU Europe ","EU (European citizens)",18850,"Services",12,"M",2008
171270,"commande d'une fontaine d'eau pour l'info point 
",99820,"CULLIGAN NV","Belgium","EU Europe ","EU (European citizens)",180,"Supplies",12,"M",2008
171377,"EC budget support operations",99820,"IMPRIMERIES BIETLOT FRERES SA","Belgium","EU Europe ","EU - European Citizens",3165.37,"Services",8,"M",2008
171401,"information briefing & seminars for journalists",99820,"STICHTING EUROPEAN JOURNALISM CENTRE","Netherlands (The)","EU Europe ","EU (European citizens)",48600.14,"Services",12,"M",2008
171435,"Food security strategy and actions: Publication",99820,"TIPIK COMMUNICATION AGENCY SA","Belgium","EU Europe ","EU - European Citizens",29611.95,"Services",360,"J",2008
171592,"Travel and accommodation arrangements for two journalist seminars",99820,"APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL","France","EU Europe ","EU -European Citizens",43212,"Services",6,"J",2008
171862,"commande matériel audiovisuel pour l'Info point",99820,"FNAC BELGIUM SA","Belgium","EU Europe ","EU (European citizens)",2346.7,"Supplies",12,"M",2008
172189,"Ex-ante evaluation in preparation of stakeholder communication activities",99820,"THE EVALUATION PARTNERSHIP LIMITED","United Kingdom","EU Europe ","EU (European citizens)",59933.86,"Services",12,"M",2008
154639,"Dummy contract for payment of the final invoice under the contract 129930",52010,"EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","All Countries",,46944.25,"Services",3,"M",2008
156035,"¿Improvement of trans-boundary animal disease surveillance and prevention system in South Caucasus¿","N/A","HTSPE LIMITED","United Kingdom","Georgia",,147166,"Services",365,"J",2008
165111,"Improvement of Government expenditure management, programmes and services in the sectors of veterinary and phyto sanitary in Armenia","N/A","TRANSTEC SA","Belgium","Armenia",,82506,"Services",365,"J",2008
171255,"Financial audit of ""Development of Marginal Land and Water Resources in the West Bank"" Grant Agreement ref. FOOD/2005/106-391",31120,"DELOITTE AND TOUCHESABA AND CO PARTNERSHIP","West Bank and Gaza Strip","West Bank and Gaza Strip","oPt",10000,"Services",6,"M",2008
163011,"Concours de dessin 2008 sur la journée de la femme en Tunisie",15170,"P.C. NET SARL","Tunisia","All Countries","Tunis, Tunisie",1000,"Supplies",5,"M",2008
163879,"Organisation of the national award ceremony for the winners of the children's drawing competition on gender equality",99820,"FEST GES LAMP ENERDZI LLC","Ukraine","All Countries","Kyiv, Ukraine
Target group: children participants of the drawing competition",2000,"Services",3,"M",2008
165090,"Printing of posters","N/A","MOHIALDIN SAEED SAEED ALDUBAI","Yemen","Yemen","Distribution of posters to governorates of Taiz, Aden, Hadramaut and Sana'a",458,"Supplies",2,"M",2008
168192,"Drawing Competition 2008","N/A","SAMIR AND GHASSAN ODEH COMPANY ANDPARTNERS LTD","Jordan","Jordan",,2180,"Supplies",2,"M",2008
169550,"Child Drawing Exhibition on Gender","N/A","TBILISI ELENE AKHVLEDIANI CHILDRENS ART GALLERY","Georgia","Georgia",,2833,"Services",3,"M",2008
170862,"Concours de dessin 2008 sur la Journée de la femme en Tunisie",15170,"ATLANTIS VOYAGE SA","Tunisia","All Countries","Tunis, Tunisie",260,"Supplies",5,"M",2008
171338,"Concours de dessin 2008 sur la Journée de la femme en Tunisie",15170,"SOCIETE SOUAD DIFFUSION SARL","Tunisia","All Countries","Tunis, Tunisie",400,"Supplies",5,"M",2008
172266,"Concours de dessin 2008 sur la Journée de la femme en Tunisie",15170,"SOCIETE KALIMA SARL","Tunisia","All Countries","Tunis, Tunisie",1230,"Supplies",5,"M",2008
157932,"Contract of Iraqi Refugees {Addendum N°5 to the contract of GTZ under the HSMP project (SYR/AIDCO/2001/0215-01)",12110,"DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH","Germany","Syria","Syria",400000,"Services",11,"M",2008
162431,"Audit of ''Strengthening Visiting Nurses Services In Belarus''",91010,"MAZARS ET GUERARD SA","France","Belarus","Austria and Switzerland",10723,"Services",365,"J",2008
163979,"Audit of project No. 60551 - Learners for Life - Life Skills and Employment Services for Vulnerable Youth, Georgia","N/A","MOORE STEPHENS LLP","United Kingdom","Georgia","Vienna, Austria",18863,"Services",360,"J",2008
148879,"Organizing a Non-State Actors consultation workshop in Ramallah",15150,"PALESTINIAN YOUTH ASSOCIATION FOR LEADERSHIP AND RIGHTS ACTIVATION","West Bank and Gaza Strip","West Bank and Gaza Strip","Occupied Palestinian Territory : Ramallah",5000,"Services",2,"M",2008
153730,"Organisation of four NSA & LA information sessions","N/A","PALESTINIAN YOUTH ASSOCIATION FOR LEADERSHIP AND RIGHTS ACTIVATION","West Bank and Gaza Strip","West Bank and Gaza Strip","Occupied Palestinian Territory :Ramallah, Jenin, Nablus and Gaza.",6000,"Services",1,"M",2008
167085,"Organisation of four training sessions for Non State Actors in Bethlehem, Nablus, Jenin and Gaza - The Freelance Group - occupied Palestinian Territory",43010,"FREELANCE GROUP TRAINING & CONSULTING JERUSALEM NON PROFIT COMPANY","Israel","All Countries","occupied Palestinian Territory - West Bank and Gaza",10000,"Services",2,"M",2008
167718,"Training on EC grants procedures for NGOs in Syria",15150,"IBF INTERNATIONAL CONSULTING SA","Belgium","Syria","Syria: Damascus",14909,"Services",250,"J",2008
147873,"Organisation of EIDHR 2007 Information days in Azerbaijan","N/A","CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA","Belgium","Azerbaijan","The action is targeted at potential beneficiaties of EC grants ( mainly civil society organisations) in Azerbaijan. Activities will take place in Azerbaijan.",26180,"Services",90,"J",2008
151445,"Organization of Four Information Sessions on the CfP of the EIDHR-CBSS 2007-2008 Ref. EuropeAid/126-374/L/ACT/PS ''at Ramallah, Jenin, Nablus and Gaza","N/A","PALESTINIAN YOUTH ASSOCIATION FOR LEADERSHIP AND RIGHTS ACTIVATION","West Bank and Gaza Strip","West Bank and Gaza Strip","Occupied Palestinian Territory",6000,"Services",2,"M",2008
153750,"Evaluation of concept notes received in the framework of the 2008 EIDHR CBSS Call for Proposals in Russia","N/A","AGRICONSULTING EUROPE SA","Belgium","Russia ","Assessment done long distance by experts in European Union on behalf of the Delegation to Russia",30000,"Services",40,"J",2008
156103,"services d'hotellerie pour l'organisation des sessions d'information dans le cadre de l'AàP IEDDH 2007",15150,"CLE ETUDES SARL","Morocco","Morocco","Tanger, Marrakech, Rabat, Fès",6100,"Services",4,"M",2008
159444,"Audit of the project ''Daily Human Rights Education'' - DDH/2001/050-531","N/A","MAZARS ET GUERARD SA","France","All Countries","Country: Italy
City: Pisa
Location: premises of the Instituzione Centro Nord-Sud organisation",19440,"Services",30,"J",2008
159951,"Audit of the Advancing Gender Equality at Work and in the Labour Market'' Grant Agreement with identification number DDH/2006/125-937","N/A","ELWAFA COMPANY FOR FINANCIAL CONSULTING AND ACCOUNTING SERVICES PARTNERSHIP","West Bank and Gaza Strip","West Bank and Gaza Strip","Occupied Palestinian Territory : West Bank ",3950,"Services",2,"M",2008
160108,"Audit of project 127847","N/A","BAKER TILLY GEORGIA LTD","Georgia","Georgia",,5000,"Services",6,"M",2008
163295,"Audit of the ''Prisoner Rights & Democratic Development'' Grant Agreement with identification number DDH/2005/113-515",15160,"BDO NATIONAL BROTHERS ACCOUNTANTS & CONSULTANTS","West Bank and Gaza Strip","All Countries","Palestine
Premises of the Palestinian Center for Human Rights in Gaza",3000,"Services",4,"M",2008
163947,"Publishing adverts and organising for conducting Information Sessions in Aqaba, Petra, Amman and Irbid.","N/A","PERSPECTIVES ADVERTISING & PUBLIC RELATIONS LLC","Jordan","Jordan","Aqaba, Petra, Amman and Irbid - JORDAN",5500,"Services",1,"M",2008
164245,"Audit of projects: 1. The programme of rehabilitation of torture victims in Georgia - contract No. 98941 and 2. Implementation of International Standards for Prevention of Torture in Georgia - contract No. 122694","N/A","GEORGIAN AUDIT & CONSULTING COMPANY LLC","Georgia","All Countries",,12000,"Services",6,"M",2008
165009,"Annual EIDHR conference 2008","N/A","ITALTREND SPA","Italy","Russia ","Moscow",44539,"Services",61,"J",2008
167309,"EIDHR project evaluation services - Assessor in Jordan ","N/A","ABDALLAHBOUDART","Jordan","Jordan","Amman - JORDAN",3000,"Services",10,"J",2008
167315,"EIDHR Project Evaluation Services - Assessor - Amman ","N/A","OLIVEIRA","Jordan","All Countries","Amman - JORDAN",3000,"Services",10,"J",2008
168359,"Audit 3 EIDHR contracts in Lebanon",91010,"MOORE STEPHENS LLP","United Kingdom","Lebanon","Beirut",34665,"Services",365,"J",2008
170558,"Exhibition on 60th anniversary of the Universal Declaration of Human Rights ",15160,"ARMENIAN CAMP LANGUAGE AND SAILINGSCHOOL","Armenia","Armenia",,3000,"Services",1,"M",2008
170596,"Verification of the project ''Democratization and Human Rights Initiatives in Belarus''",15160,"ERNST AND YOUNG BEDRIJFSREVISOREN CVBA","Belgium","Belarus","Poland, Belarus",16539.5,"Services",365,"J",2008
170610,"Information meeting for local NGOs on EIDHR Yemen 2008",92010,"ISLAMIC RELIEF YEMEN ASSOCIATION","Yemen","Yemen","Sana'a, republic of Yemen",7770,"Services",1,"M",2008
170726,"Celebration du 6ème anniversaire de la déclaration universelle des droits de l'Homme",15160,"COMET INFO SARL","Algeria","Algeria","Algérie",3000,"Services",2,"M",2008
171112,"Event to celebrate 60th anniversary of the HR declaration",99810,"INDEPENDENT JOURNALISTS HOUSE UNION","Georgia","Georgia",,3000,"Services",1,"M",2008
171222,"Prestations de services relatives à la conception et la réalisation de supports pour l'expositions commémorative du 60e anniversaire de la déclaration universelle des droits de l'homme",15150,"B TO B CONSULTING SARL","Morocco","Morocco","Rabat",3000,"Services",3,"M",2008
171691,"Celebration of the 60th anniversary of the UDHR in Jordan : printing of a pocket UDHR and organization of a school event","N/A","LAND AND HUMAN TO ADVOCATE PROGRESS","Jordan","Jordan","JORDAN",1850,"Services",20,"J",2008
172062,"Training on Financial Matters Related to EU Grant Contracts","N/A","GEORGIAN AUDIT & CONSULTING COMPANY LLC","Georgia","Georgia",,4500,"Services",2,"M",2008
172235,"Implementation of Technical Training Courses in PCM and Writing Quality Proposals for Local Beneficiaries of EIDHR-CBSS Programme",15160,"BIRZEIT UNIVERSITY","West Bank and Gaza Strip","All Countries","Occupied Palestinian Territory, West Bank",9980,"Services",2,"M",2008
145587,"Preparation of project ''Regional transport dialogue and networks' interoperability''",21010,"HYDROPLAN INGENIEURS GMBH","Germany","Tacis Region","Armenia, Azerbaijan, Georgia, Moldova, Kazakhstan, Kyrgyzstan, Ukraine, Uzbekistan, Tajikistan, Turkmenistan",114120,"Services",120,"J",2008
146246,"Mission d'identification et de formulation ''Appui à la politique sectorielle d'éducation au Maroc''",11110,"CAMBRIDGE EDUCATION LIMITED","United Kingdom","Morocco","La mission d'identification et de formulation se déroule essentiellement au niveau central (Rabat), auprès du MENESFCRS. Toutefois, les experts effectueront quelques missions de terrain dans certaines AREF.",173028,"Services",182,"J",2008
146264,"Support to ENPI East regional cooperation on culture",16061,"BUSINESS AND STRATEGIES IN EUROPE SA","Belgium","Tacis Region","Azerbaijan, Armenia, Georgia, Moldova, Ukraine",142506,"Services",140,"J",2008
147077,"Mission de formulation du ''Programme d'appui à l'integration économique''","N/A","AIDE A LA DECISION ECONOMIQUE SA","Belgium","Tunisia",,143362,"Services",180,"J",2008
147145,"Appraisal study for the Trade and transport facilitation programme",33120,"HTSPE LTD","United Kingdom","Jordan","Jordan - Amman",158602,"Services",900,"J",2008
147482,"Evaluation mission of the project ''Energy efficiency in the construction sector in the Mediterranean'' (MED-ENEC)",23010,"PARSONS BRINCKERHOFF LTD","United Kingdom","Mediterranean Region","All the Mediterranean Partner Countries covered by the project that is evaluated by this mission, i.e., Algeria, Egypt, Israel, Jordan, Lebanon, Morocco, Syria, Tunisia, Turkey and the occupied Palestinian Territory.",89600,"Services",162,"J",2008
147643,"Mission de formulation et de faisabilité du programme d'appui au secteur de la santé en Algérie.",12110,"IBF INTERNATIONAL CONSULTING SA","Belgium","Algeria","Ministère de la Santé et de la Réforme Hospitalière, Alger",118440,"Services",180,"J",2008
147868,"Evaluation of the MEDA WATER Programme",14010,"PARSONS BRINCKERHOFF LTD","United Kingdom","Region Neighbourhood","ENPI South countries",164366,"Services",301,"J",2008
148637,"Euromed Heritage IV Programme - Regional Monitoring and Support Unit''",16061,"HYDEA SRL","Italy","Mediterranean Region","L'AT est située à Bruxelles mais les activités de monitoring se feront dans toute la zone ENPI SUD",3257380,"Services",42,"M",2008
148702,"Identification mission for the future EuroMed Migration III regional project",15130,"TRANSTEC SA","Belgium","Mediterranean Region","The team of experts will visit all the concerned ENPI South partner countries: Algeria, Egypt, Israel, Jordan, Lebanon, Morocco, the Palestinian Authority, Syria and Tunisia . Trips within the EU could possibly be envisaged, under prior approval of the EC. ",75966,"Services",80,"J",2008
148842,"9ème Festival Culturel Européen en Algérie",16061,"BCD TRAVEL BELGIUM NV","Belgium","Algeria","Algerie",180000,"Services",120,"J",2008
148975,"Support to the Extension of the Labour Pool's Activities",11330,"EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Egypt","Delta and Middle Egypt",177250,"Services",640,"J",2008
149118,"Preparation of technical specifications for supply of equipment for 11 VEt colleges","N/A","AGRICONSULTING EUROPE SA","Belgium","Armenia","Target group: unemployed adults
Action location: all territory of Armenia
",74904,"Services",240,"J",2008
149917,"Maroc: Mission d'identification ''Programme d'Appui à la Promotion des Investissements et des Exportations''","N/A","DFC SA","Spain","Morocco","Groupe cible : exportateurs, opérateurs industriels privés, administrations de régulation de l'environnement des affaires, sur l'ensemble du territoire marocain",109040,"Services",730,"J",2008
149954,"Rédaction, conception, graphisme, impression et traduction des actes du colloque ''L'Entreprise maghrébine et l'Asie: Défis et opportunités''",91010,"IMPRIMERIE PRINCIPALE SARL","Tunisia","Region Neighbourhood","Tunisie",8000,"Services",12,"M",2008
150431,"Organisation of 4 inter lebanese fora on economic and social development",99820,"ASSOCIATION FEMISE","France","Lebanon","Beirut, Lebanon. Target group : all Lebanese political parties.",160000,"Services",28,"M",2008
150664,"TRACECA Land transport safety and security",21020,"SOCIETE ANONYME FRANCAISE D'ETUDESET DE GESTION SA","France","Eastern Europe Region","Armenia, Azerbaijan, Georgia, Moldova, Kazakhstan, Kyrgyzstan, Ukraine, Uzbekistan, Tajikistan, Turkmenistan",2997000,"Services",36,"M",2008
150669,"TRACECA Civil aviation safety and security",21050,"EGIS AVIA SA","France","Eastern Europe Region","Armenia, Azerbaijan, Georgia, Moldova, Kazakhstan, Kyrgyzstan, Ukraine, Uzbekistan, Tajikistan, Turkmenistan",3000000,"Services",36,"M",2008
151702,"Missions de suivi du programme d'appui de la CE à l'Initiative Nationale de Développement Humain (INDH) - Maroc",16050,"IBF INTERNATIONAL CONSULTING SA","Belgium","Morocco","- Localisation : 403 communes rurales les plus pauvres du Maroc - -- Groupes-cible : populations des 403 communes rurales, élus et personnel des communes rurales, associations locales, institutions de l'INDH au niveau central, régional, provincial et local",172108,"Services",174,"J",2008
152072,"Assistance technique au programme d'appui à l'Initiative Nationale de Développement Humain (INDH) - Maroc",16050,"GFA CONSULTING GROUP GMBH","Germany","Morocco","Maroc - 403 communes rurales les plus pauvres du Pays
Groupes-cible : populations des 403 communes rurales, associations, élus et collectivités locales, institutions aux niveaux central, régional, provincial et local impliqués dans la mise en oeuvre de l'Initiative Nationale de Développement Humain",1862720,"Services",32,"M",2008
152447,"Kick off meeting 2008 of the IBPP Institution Building Partnership Programme- ''Civil Society and Local Initiatives''","N/A","CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA","Belgium","Russia ","Moscow",44810,"Services",35,"J",2008
153134,"Enhancing Equality between men and women in the Euromed Region",15170,"TRANSTEC SA","Belgium","Mediterranean Region","Morocco, Algeria, Tunisia, Egypt, Israel, West Bank & Gaza, Lebanon, Jordan, Syria.",3342200,"Services",36,"M",2008
153809,"Specific Contract n° 140 implementing Framework Contract DI/05722 (Simone CONSIGLIO)","N/A","ONE4EU SOCIETE MOMENTANEE","Belgium","Belgium",,70602.4,"Services",20,"M",2008
154012,"Organisation logistique du Forum Inter-Libanais sur les Politiques Sociales","N/A","APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL","France","Lebanon","Beyrouth, Liban.",27789,"Services",6,"M",2008
154127,"Order Form n° 688 - FC DI/05650","N/A","PC-WARE INFORMATION TECHNOLOGIESBV","Netherlands (The)","Belgium",,1118.7,"Supplies",12,"M",2008
154188,"Specific Contract n° 330 implementing Framework Contract DI/05722 (Jean-Baptiste RUMAGIHWA)","N/A","SERCO BELGIUM SA","Belgium","Belgium",,73920,"Services",20,"M",2008
154325,"Formulation Mission of the Public Finance Reform Programme in Syria",15111,"INVESTISSEMENT DEVELOPPEMENT CONSEIL SA","France","Syria","Damascus, Syria",130120,"Services",130,"J",2008
154335,"Formulation Mission of the Secondary Education Reform Programme in Syria",11110,"AGRICONSULTING EUROPE SA","Belgium","Syria","Syria",122648,"Services",130,"J",2008
154478,"Systems Audit AGMIN Italy (3 contracts)",91010,"MOORE STEPHENS LLP","United Kingdom","Region Neighbourhood","The action is to audit the contractor whose actions are targeted to provide laboratory and information technology equipment to relevant authorities in a multitude of countries (Morocco, Algeria, Tunisia, Egypt, Israel, Palestine, Jordan, Syria, Lebanon, Georgia, Armenia, Azerbaijan, Moldova, Russia, Ukraine, Turkmenistan, Kazakhstan).",34722,"Services",360,"J",2008
154899,"Festival Jazz au Chellah 2008","N/A","GOETHE-INSTITUT EV","Germany","Morocco","Rabat, Maroc",120000,"Services",9,"M",2008
154945,"Designing and printing the annual cooperation report 2007",99810,"RIAD AL SABBAGH BEN MOHAMMAD NADER","Syria","Syria","Damascus, Syria",2660,"Services",3,"M",2008
155010,"Mission de Formulation Programme Environnement Energie en Tunisie",41010,"AGRECO GEIE","Belgium","Tunisia","Tunisie",84583,"Services",100,"J",2008
