"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
145723,"Programme d¿Appui à la Production Agricole durable en périphérie de la réserve de Luki et à la Sécurisation Alimentaire dans les districts de Boma et du Bas-Fleuve (PAPASA Luki)",31120,"WWF - WORLD WIDE FUND FOR NATURE","Switzerland","Congo (Democratic Republic of the)","RDC- Province du Bans Congo - villages de la périphérie de la réserve de Luki - entre Boma et Tshela - activités de relance agricole basées essentiellement sur la commercialisation post récolte",1550000,82,1890243,48,"M",2007
135827,"SAVE FOR GOOD: Mobilising European actors to build global inclusive
financial sectors in Developing Countries",99820,"ASOCIACION PARA EL SERVICIO Y LA PROMOCION DE LA EDUCATION DE LA INFANCIA Y LA JUVENTUD EN EL TERCER MUNDO SETEM","Spain","EU Europe ","Location of the project: Spain - all region (in particular Castilla, Catalunya and Basque country). Italy - all regionLombardia, Veneto, Guilia, Trentino, Romagna, Toscana and Lazio.
Target group : public opinion, civil society organisations, local regional authorities, Ethical finance banks and Investment Funds, Southern Countries MFls.
-Italian NGOs, Spanish Banks/Financial operators.
",476339.93,75,635119.9,24,"M",2007
137390,"Capacity building of Mongolian and Inner Mongolian (Chinese) Energy Service Companies (ESCO)",32130,"MONGOLIAN NATIONAL CHAMBER OF COMMERCE AND INDUSTRY","Mongolia","Asia","Target group includes: Potential ESCO companies (energy equipment importers, consultancy and maintenance service companies).
 
The locations of the project activities are as follows:

Mongolia, Ulaanbaatar,
Huh Hot, Inner Mongolia, China
EU, Eitweg, Austria

The final beneficiaries will be Mongolian and Inner Mongolian SME¿s and organizations.
",266126.82,95,280133.49,24,"M",2007
136341,"''OUR KNOWLEDGE IS OURS'' - Awareness Raising within the EU: Patents on indigenous knowledge and on specific plant characteristics. How is their impact on traditional farming systems and rural communities in the South?


",99820,"INTERNATIONALER LANDVOLKDIENST DERKATHOLISCHEN LANDVOLKBEWEGUNG","Germany","EU Europe ","Locations: Germany (rural areas), Belgium (focusing on the Flamish part), France (focusing on the 5 departmental federations). Target groups: members of the rural movements and the surrounging population, multipliers within the rural movements, decision makers on regional, national and European level. ",374915,75,499887,36,"M",2007
133994,"Primary health care integrating HIV/AIDS/TB comprehensive care package in urban settings",13040,"ASBL MEDECINS SANS FRONTIERES","Belgium","Kenya","Nairobi, Kibera Slum",750000,13.16,5697684.26,24,"M",2007
134716,"DPRK Integrated Rural Health Project
",14030,"SAVE THE CHILDREN FUND","United Kingdom","North Korea","North Korea",745000,65.91,1130305,24,"M",2007
130038,"Fit for Europe - Training for a positive migration",15162,"CAMARA OFICIAL DE COMERCIO INDUSTRIA Y NAVEGACION DE OVIEDO","Spain","All Countries","Spain, Italy, Morocco, Senegal and Cape Verde",709742.18,80,887177.73,36,"M",2007
143269,"ASISTENCIA A VICTIMAS CIVILES DE ACCIDENTES DE MINAS ANTIPERSONAL Y MUNICIONES SIN EXPLOTAR (MAP Y MUSE) EN COLOMBIA",15250,"ASBL HANDICAP INTERNATIONAL VZW","Belgium","Colombia","RIONEGRO (ANTIOQUIA), CAUCASIA (ANTIOQUIA), APARTADO (ANTIOQUIA), FRONTINO (ANTIOQUIA), SINCELEJO (SUCRE), CARTAGENA (DIST. ESP.) (BOLIVAR), EL CARMEN DE BOLIVAR (BOLIVAR), SAN PABLO (BOLIVAR), BUCARAMANGA (SANTANDER), CUCUTA (NORTE DE SANTANDER)
",800000,75.53,1059159,36,"M",2007
135361,"Projet d'appui à l'amélioration des conditions socio-économiques des femmes et des enfants de la Commune d'Adjohoun - BENIN
",15162,"ASSOCIAZIONE COMUNITA IMPEGNO SERVIZIO VOLONTARIATO","Italy","Benin","République du Bénin
Département de l'Ouémé
Commune d'Adjohoun",340687,75,454250,36,"M",2007
139670,"Restoring dignity amongst indigenous desert border communities.",15162,"THE FOLKLORE SOCIETY OF PAKISTAN","Pakistan","All Countries","Target groups are indigenous groups of Manganhaar and Bhil communities living in the desert areas of Cholistan and Thar (Pakistan)",80500,89.68,89762,24,"M",2007
144526,"Batwa Economic Empowerment Project (BEEP)",15162,"RURAL WELFARE IMPROVEMENT FOR DEVELOPMENT (RWIDE) ASSOCIATION","Uganda","Uganda","Bundibugyo district - Rwenzori Region in Uganda",42798.64,90,47554.05,12,"M",2007
144201,"Peace builidng and conflict prevention among ethnic groups in Kasese district",15162,"NATIONAL YOUTH ORGANISATION FOR DEVELOPMENT LBG","Uganda","Uganda","Kasese District, Rwenzori Region Uganda.",39232,90,43591.09,18,"M",2007
128434,"A Master Programme (MAP) in Educational Science for Afghan Teacher Educators",11420,"KARLSTADS UNIVERSITET","Sweden","All Countries",,748534,84.2,889034,30,"M",2007
145259,"ELE - Election Observation Mission to Kenya",15161,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","Kenya","Kenya",4240884,100,4240884,24,"M",2007
135031,"Mise en place du plan stratégique de développement durable et intégré de la Commune de Voskopojë
",33210,"FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE","France","All Countries","Commune de Voskopoje",515000,74.65,689900,60,"M",2007
144220,"Dignificas: Mobilização pelos Direitos Humanos e Combate à tortura no Maranhão",15162,"SOCIEDADE MARANHENSE DE DIREITOS HUMANOS ASSOCIACAO","Brazil","Brazil","Estado do Maranhão, nos municípios de São Luís, São José de Ribamar, Açailândia (município da Região Tocantina), Coroatá (município da microrregião de Caxias), Coelho Neto, Santa Quitéria do Maranhão, Paulino Neves, Mata Roma, Barreirinhas e Chapadinha municípios do Baixo Parnaíba Maranhense região localizado no Leste Maranhense. Brasil.",99957.46,75.41,132552,18,"M",2007
144967,"Contribution Agreement with ILO on Labour Market Project Vietnam",16020,"INTERNATIONAL LABOUR ORGANIZATION","Switzerland","Vietnam","Vietnam, Ministry of Labour and Vocational Education Schools in the whole of Vietnam",9500000,95,10000000,37,"M",2007
134041,"Improving mother and child health status and increasing preventive and diagnostic health services accessiblity in the slums of Nairobi , Kenya
",13020,"AMICI DEL MONDO WORLD FRIENDS ONLUS","Italy","Kenya","Nairobi town, Kasarani Area",900000,50,1800000,36,"M",2007
144584,"Approvisionnement en eau potable et promotion de l'hygiène et l'assainissement dans quelques quartiers périphériques de Bamako ¿ Mali ",14030,"PROJEKTGROEP VOOR TECHNISCHE ONTWIKKELINGSSAMENWERKING VZW","Belgium","Mali","Le projet intervient dans les communes urbaines I et IV du district de Bamako, capitale du Mali. 
Groupes cibles : Les cibles relèvent des 4 quartiers de la commune I (Sotuba, Mékin-Sikoro, Boulkassoum-bougou et Doumanzana) et de 4 quartiers de la commune IV (Djicoroni-para, Sébénicoro, Kalabambougou,et Sibiribougou,) du district de Bamako soit 42 500 Habitants.",626238,75,834985.2,36,"M",2007
137535,"Promoting Rights and Interests of Children with Hearing Disabilities",15162,"STEP FORWARD UNION","Georgia","Georgia","Target group: Deaf children and children with hearing disabilities aged 0-18 and their families.
Action location: Georgia, Adjara region.",63738,90,70820,18,"M",2007
130604,"Securing travel documents, improving border management and sustaining return and reintegration in Bolivia.",15162,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","All Countries","Bolivia",853395.88,80,1066744.85,18,"M",2007
134675,"APPUI A LA STRUCTURATION DES GROUPEMENTS DE DEFENSE SANITAIRE DANS DEUX PROVINCES DE MONGOLIE
",31195,"ASSOCIATION VETERINAIRES SANS FRONTIERES - CENTRE INTERNATIONAL DE COOPERATION POUR LE DEVELOPPEMENT AGRICOLE VSF CICDA","France","Mongolia","Target group includes: 

Éleveurs regroupés en Groupements de Défense Sanitaire : 2.000 familles

The location of the project activities is Mongolie, Provinces de l¿Arkhangaï et du Bayankhongor.

The final beneficiaries will be: Les éleveurs en général, soit près de 80% de la population de ces deux provinces
",457873.95,75,610498.6,36,"M",2007
134187,"''Programme de soutien au système scolaire afghan dans les
provinces de Bamyan, Nangarhar et Parwan''
",11120,"AMITIE FRANCO-AFGHANE ASSOCIATION","France","Afghanistan","Bamyan, Nangarhar and Parwan Provinces, Afghanistan.",290000,43.02,674031.47,24,"M",2007
128899,"Title   EU Asia Inter-University Network for Teaching and Research in Public Procurement Regulation",11420,"THE UNIVERSITY OF NOTTINGHAM","United Kingdom","Asia","Target groups:
1. Academic institutions I) in partner countries and ii) in (other) Asian developing countries;
2. Postgraduate students on taught masters- level courses I) in partner countries and ii) in (other) Asian developing countries 
3. Postgraduate research students (PhD etc) I) in partner countries and ii) in (other) Asian developing countries

Location of project:
Nottingham, UK
Frederikeberg, Danmark
Beijing, China
Xinjiang, China
Kuala Lumpur, Malaysia
",443303.49,75,591071.32,36,"M",2007
135332,"Capacity building as a tool for more effective poverty allevation of marginalized rural women in Zimbabwe
",15150,"KONRAD-ADENAUER-STIFTUNG EV","Germany","Zimbabwe","Midlands, Matabeleland",639464,75,852619,36,"M",2007
133414,"Poverty reduction through self-help structures in conflict affected areas of Kashmir, India",15220,"DEUTSCHE WELTHUNGERHILFE EV","Germany","India","Jammu & Kashmir State (Baramulla District)",120000,75,160000,36,"M",2007
144670,"Assessment of the Enterprise Policy of the Mediterranean Partners",24040,"ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT","France","Region Neighbourhood","9 ENPI South partners
Target group: Mediterranean Ministries of finance, organisations commited to trade and investment promotion, business organisations + other relevant Ministries",375000,71.43,525000,12,"M",2007
138091,"For yours and our rights",15162,"IZULEBIT GADDADGELUBUL QALTA ASOCIACIA TANXMOBA","Georgia","Georgia","Target group: Women and youth from the IDP communities and ethnic minority communities.
Action location:Georgia, Imereti, Samegrelo, Shida Kartli regions",72419,90,80466,18,"M",2007
137102,"Asia Invest Business Meeting: ¿The South Europe ¿ South Asia Connection and Afghanistan Reconstruction¿",33120,"ASOCIACION MULTISECTORAL DE EMPRESAS","Spain","Asia",,195481.41,75,260641.89,16,"M",2007
137921,"Sustainable food security, livestock development, seed multiplication and agro-forestry",31163,"HELP - HILFE ZUR SELBSTHILFE EV","Germany","Zimbabwe","Zimbabwe; Provinces ¿ Manicaland & Midlands; Districts ¿ Makoni, Lower Gweru & Kwekwe",1540234,85,1812040,36,"M",2007
137950,"Public Private Community Partnerships to improve food security and livelihoods in South East Lowveld and Mid Zambezi Valley.",52010,"CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT EPIC","France","Zimbabwe","The Project will encompass the Chiredzi District in the South East Lowveld of Zimbabwe with a focus on the Sangwe Communal Lands and Chizvirizvi Resettlement Scheme adjacent to the Save Conservancy, Malilangwe and Gona re Zhou National Park. To inform this process and develop linkages for broader application, satellite projects will also be under taken in Mbire and Nyaminyami districts in the Dande and Omay Communal Lands located in the Mid-Zambezi Valley.

",1832278,85,2155621,36,"M",2007
144742,"Contribución a la Seguridad y Soberanía Alimentaria y Mejoramiento Nutricional de 300 familias de extrema pobreza, en el norte de Nicaragua.",43040,"BROEDERLIJK DELEN VZW","Belgium","All Countries","Municipio de Sébaco
",245928.84,75,327904.84,36,"M",2007
133669,"Empresa social de vivienda popular con producción limpia y capacitación formal en Nicaragua",16040,"WERKHOF E.V.","Germany","Nicaragua","Departamento Jinotega",394531,75,526042,60,"M",2007
137914,"Food Aid, Improved Food Security and Livelihoods for Vulnerable Households in 60 Farm Villages of Chipinge District, Manicaland Province.",52010,"FONDAZIONE TERRE DES HOMMES ITALIAONLUS","Italy","Zimbabwe","Zimbabwe, Manicaland Province, Chipinge District",1142290,85,1343870,36,"M",2007
